LAT,LON,SSID,TYPE
40.788006,-73.976545,LinkNYC Free Wi-Fi,Free
40.800581,-73.967782,LinkNYC Free Wi-Fi,Free
40.797148,-73.96963,LinkNYC Free Wi-Fi,Free
40.830208,-73.947909,LinkNYC Free Wi-Fi,Free
40.785813,-73.978293,LinkNYC Free Wi-Fi,Free
40.799528,-73.943527,LinkNYC Free Wi-Fi,Free
40.717112,-73.999114,LinkNYC Free Wi-Fi,Free
40.829037,-73.948869,LinkNYC Free Wi-Fi,Free
40.829675,-73.947866,LinkNYC Free Wi-Fi,Free
40.78622,-73.977987,LinkNYC Free Wi-Fi,Free
40.830586,-73.947195,LinkNYC Free Wi-Fi,Free
40.717484,-74.001523,LinkNYC Free Wi-Fi,Free
40.786204,-73.977693,LinkNYC Free Wi-Fi,Free
40.830876,-73.946986,LinkNYC Free Wi-Fi,Free
40.836501,-73.942787,LinkNYC Free Wi-Fi,Free
40.718036,-74.001021,LinkNYC Free Wi-Fi,Free
40.717828,-74.000962,LinkNYC Free Wi-Fi,Free
40.786403,-73.9783,LinkNYC Free Wi-Fi,Free
40.720597,-73.994078,LinkNYC Free Wi-Fi,Free
40.796762,-73.970651,LinkNYC Free Wi-Fi,Free
40.834078,-73.940919,LinkNYC Free Wi-Fi,Free
40.830367,-73.943722,LinkNYC Free Wi-Fi,Free
40.805516,-73.966052,LinkNYC Free Wi-Fi,Free
40.764212,-73.984544,LinkNYC Free Wi-Fi,Free
40.799507,-73.939041,LinkNYC Free Wi-Fi,Free
40.791202,-73.944781,LinkNYC Free Wi-Fi,Free
40.827193,-73.946443,LinkNYC Free Wi-Fi,Free
40.827195,-73.946043,LinkNYC Free Wi-Fi,Free
40.832283,-73.942327,LinkNYC Free Wi-Fi,Free
40.791401,-73.973822,LinkNYC Free Wi-Fi,Free
40.832732,-73.942268,LinkNYC Free Wi-Fi,Free
40.833447,-73.94174,LinkNYC Free Wi-Fi,Free
40.790818,-73.97481,LinkNYC Free Wi-Fi,Free
40.833861,-73.941447,LinkNYC Free Wi-Fi,Free
40.834247,-73.941163,LinkNYC Free Wi-Fi,Free
40.764744,-73.98447,LinkNYC Free Wi-Fi,Free
40.814496,-73.95935,LinkNYC Free Wi-Fi,Free
40.821918,-73.95331,LinkNYC Free Wi-Fi,Free
40.795171,-73.971048,LinkNYC Free Wi-Fi,Free
40.79382,-73.972036,LinkNYC Free Wi-Fi,Free
40.719905,-73.994058,LinkNYC Free Wi-Fi,Free
40.803579,-73.966917,LinkNYC Free Wi-Fi,Free
40.794041,-73.972568,LinkNYC Free Wi-Fi,Free
40.804835,-73.965995,LinkNYC Free Wi-Fi,Free
40.716355,-73.991198,LinkNYC Free Wi-Fi,Free
40.813669,-73.95619,LinkNYC Free Wi-Fi,Free
40.818371,-73.952755,LinkNYC Free Wi-Fi,Free
40.764823,-73.984099,LinkNYC Free Wi-Fi,Free
40.825947,-73.946952,LinkNYC Free Wi-Fi,Free
40.824578,-73.952134,LinkNYC Free Wi-Fi,Free
40.791943,-73.973425,LinkNYC Free Wi-Fi,Free
40.822703,-73.953499,LinkNYC Free Wi-Fi,Free
40.764934,-73.984336,LinkNYC Free Wi-Fi,Free
40.790899,-73.974297,LinkNYC Free Wi-Fi,Free
